Район,Конкурс,Год,Количество участников,Средний балл,Необходимые знания
Район1,Информатика_РЭ,2023,178,36.17,Анализ и оптимизация алгоритмов.
Район1,Информатика_ЗЭ,2023,87,21.18,"История информатики, влияние технологий на общество."
Район1,Информатика_ШЭ,2024,171,40.44,Углубленное изучение алгоритмов и структур данных.
Район1,Информатика_МЭ,2024,62,16.03,Создание веб-приложений и работа с API.
Район1,Информатика_ЗЭ,2024,77,23.07,Современные достижения в области информатики.
Район1,Искусство_ШЭ,2023,147,36.21,Общие знания
Район1,Искусство_МЭ,2023,23,9.14,Общие знания
Район1,Искусство_РЭ,2023,165,38.71,Общие знания
Район1,Искусство_ЗЭ,2023,107,23.43,Общие знания
Район1,Искусство_ШЭ,2024,149,33.57,Общие знания
Район1,Искусство_МЭ,2024,196,39.46,Общие знания
Район1,Искусство_РЭ,2024,227,43.53,Общие знания
Район1,Искусство_ЗЭ,2024,156,28.49,Общие знания
Район1,История_МЭ,2023,176,31.57,Изучение исторических процессов и их влияния на современность.
Район1,История_РЭ,2023,151,28.41,Анализ исторических источников и документов.
Район1,История_ЗЭ,2023,92,24.45,"История культуры и искусства, влияние на общество."
Район1,История_ШЭ,2024,15,9.85,Углубленное изучение мировой истории и ее этапов.
Район1,История_МЭ,2024,174,34.87,Анализ исторических событий с разных точек зрения.
Район1,История_РЭ,2024,235,43.4,Работа с архивными материалами и историческими документами.
Район1,История_ЗЭ,2024,22,12.35,Современные подходы к изучению истории.
Район1,Испанский язык_ШЭ,2023,102,20.3,Общие знания
Район1,Испанский язык_МЭ,2023,186,38.24,Общие знания
Район1,Испанский язык_РЭ,2023,147,30.39,Общие знания
Район1,Испанский язык_ЗЭ,2023,161,34.83,Общие знания
Район1,Испанский язык_МЭ,2024,4,5.94,Общие знания
Район1,Испанский язык_РЭ,2024,214,45.68,Общие знания
Район1,Испанский язык_ЗЭ,2024,9,13.32,Общие знания
Район1,Итальянский язык_МЭ,2023,80,20.68,Общие знания
Район1,Итальянский язык_РЭ,2023,109,23.71,Общие знания
Район1,Итальянский язык_ЗЭ,2023,154,30.2,Общие знания
Район1,Итальянский язык_ШЭ,2024,110,30.94,Общие знания
Район1,Итальянский язык_МЭ,2024,158,34.3,Общие знания
Район1,Итальянский язык_РЭ,2024,130,33.33,Общие знания
Район1,Итальянский язык_ЗЭ,2024,249,45.07,Общие знания
Район1,Китайский язык_ШЭ,2023,83,19.57,Общие знания
Район1,Китайский язык_МЭ,2023,181,36.08,Общие знания
Район1,Китайский язык_РЭ,2023,65,20.66,Общие знания
Район1,Китайский язык_ЗЭ,2023,8,11.01,Общие знания
Район1,Китайский язык_ШЭ,2024,33,12.42,Общие знания
Район1,Китайский язык_РЭ,2024,137,34.37,Общие знания
Район1,Китайский язык_ЗЭ,2024,21,8.72,Общие знания
Район1,Литература_ШЭ,2023,12,8.38,"Основы литературного анализа, знание классических произведений."
Район1,Литература_МЭ,2023,21,11.67,Изучение различных жанров и стилей литературы.
Район1,Литература_РЭ,2023,169,38.33,"Анализ литературных произведений, написание критических отзывов."
Район1,Литература_ЗЭ,2023,102,20.99,"История литературы, влияние на культуру."
Район1,Литература_ШЭ,2024,6,8.4,Углубленное изучение литературных течений и направлений.
Район1,Литература_МЭ,2024,39,16.09,Анализ современных произведений и их контекста.
Район1,Литература_РЭ,2024,185,34.22,Создание собственных литературных произведений.
Район1,Литература_ЗЭ,2024,94,20.11,Современные достижения в литературе.
Район1,Математика_ШЭ,2023,80,23.36,Общие знания
Район1,Математика_МЭ,2023,114,30.27,Общие знания
Район1,Математика_РЭ,2023,29,15.82,Общие знания
Район1,Математика_ЗЭ,2023,204,36.47,Общие знания
Район1,Математика_ШЭ,2024,23,16.25,Общие знания
Район1,Математика_МЭ,2024,249,45.66,Общие знания
Район1,Математика_РЭ,2024,218,46.63,Общие знания
Район1,Математика_ЗЭ,2024,236,48.42,Общие знания
Район1,Немецкий язык_МЭ,2023,9,10.97,Общие знания
Район1,Немецкий язык_РЭ,2023,114,31.79,Общие знания
Район1,Немецкий язык_ЗЭ,2023,228,41.98,Общие знания
Район1,Немецкий язык_ШЭ,2024,143,27.6,Общие знания
Район1,Немецкий язык_МЭ,2024,48,16.47,Общие знания
Район1,Немецкий язык_РЭ,2024,42,20.07,Общие знания
Район1,Немецкий язык_ЗЭ,2024,84,23.3,Общие знания
Район1,Обществознание_ШЭ,2023,61,19.7,Общие знания
Район1,Обществознание_МЭ,2023,174,36.59,Общие знания
Район1,Обществознание_РЭ,2023,225,45.14,Общие знания
Район1,Обществознание_ЗЭ,2023,186,41.22,Общие знания
Район1,Обществознание_ШЭ,2024,64,17.37,Общие знания
Район1,Обществознание_МЭ,2024,5,6.19,Общие знания
Район1,Обществознание_РЭ,2024,171,37.27,Общие знания
Район1,Обществознание_ЗЭ,2024,108,28.34,Общие знания
Район1,Основы безопасности жизнедеятельности_ШЭ,2023,133,29.05,Общие знания
Район1,Основы безопасности жизнедеятельности_МЭ,2023,175,39.49,Общие знания
Район1,Основы безопасности жизнедеятельности_РЭ,2023,53,21.62,Общие знания
Район1,Основы безопасности жизнедеятельности_ЗЭ,2023,48,17.29,Общие знания
Район1,Основы безопасности жизнедеятельности_ШЭ,2024,160,30.43,Общие знания
Район1,Основы безопасности жизнедеятельности_МЭ,2024,226,40.79,Общие знания
Район1,Основы безопасности жизнедеятельности_РЭ,2024,67,23.03,Общие знания
Район1,Основы безопасности жизнедеятельности_ЗЭ,2024,52,16.94,Общие знания
Район1,Право_ШЭ,2023,84,20.39,Общие знания
Район1,Право_МЭ,2023,208,44.49,Общие знания
Район1,Право_РЭ,2023,187,38.8,Общие знания
Район1,Право_ШЭ,2024,109,27.55,Общие знания
Район1,Право_МЭ,2024,14,16.86,Общие знания
Район1,Право_РЭ,2024,33,12.86,Общие знания
Район1,Право_ЗЭ,2024,65,21.38,Общие знания
Район1,Русский язык_ШЭ,2023,205,40.48,Общие знания
Район1,Русский язык_МЭ,2023,230,48.62,Общие знания
Район1,Русский язык_РЭ,2023,13,14.48,Общие знания
Район1,Русский язык_ЗЭ,2023,96,25.12,Общие знания
Район1,Русский язык_ШЭ,2024,98,23.44,Общие знания
Район1,Русский язык_МЭ,2024,124,29.98,Общие знания
Район1,Русский язык_РЭ,2024,151,33.47,Общие знания
Район1,Русский язык_ЗЭ,2024,112,23.02,Общие знания
Район1,Технология_ШЭ,2023,182,36.59,Общие знания
Район1,Технология_МЭ,2023,89,21.41,Общие знания
Район1,Технология_РЭ,2023,88,26.75,Общие знания
Район1,Технология_ЗЭ,2023,1,6.38,Общие знания
Район1,Технология_ШЭ,2024,203,40.67,Общие знания
Район1,Технология_МЭ,2024,131,32.95,Общие знания
Район1,Технология_РЭ,2024,237,45.68,Общие знания
Район1,Физика_ШЭ,2023,54,13.65,"Основы физики, механика, термодинамика."
Район1,Физика_МЭ,2023,38,18.64,"Экспериментальные методы, анализ физических явлений."
Район1,Физика_РЭ,2023,245,50.23,"Решение задач, работа с физическими формулами."
Район1,Физика_ЗЭ,2023,147,32.18,"История физики, влияние на технологии."
Район1,Физика_ШЭ,2024,249,51.37,Углубленное изучение квантовой физики и теории относительности.
Район1,Физика_МЭ,2024,22,15.75,Применение законов физики в реальных задачах.
Район1,Физика_РЭ,2024,193,38.48,Исследование физических процессов на высоком уровне.
Район1,Физика_ЗЭ,2024,18,16.43,Современные достижения в физике.
Район1,Физическая культура_ШЭ,2023,37,10.69,Общие знания
Район1,Физическая культура_МЭ,2023,248,43.61,Общие знания
Район1,Физическая культура_РЭ,2023,89,27.83,Общие знания
Район1,Физическая культура_ЗЭ,2023,115,31.88,Общие знания
Район1,Физическая культура_ШЭ,2024,37,14.31,Общие знания
Район1,Физическая культура_МЭ,2024,81,22.1,Общие знания
Район1,Физическая культура_РЭ,2024,117,25.8,Общие знания
Район1,Физическая культура_ЗЭ,2024,133,27.05,Общие знания
Район1,Французский язык_ШЭ,2023,91,23.42,Общие знания
Район1,Французский язык_МЭ,2023,169,39.72,Общие знания
Район1,Французский язык_РЭ,2023,155,29.19,Общие знания
Район1,Французский язык_ЗЭ,2023,4,13.84,Общие знания
Район1,Французский язык_ШЭ,2024,178,31.76,Общие знания
Район1,Французский язык_МЭ,2024,32,10.9,Общие знания
Район1,Французский язык_РЭ,2024,198,37.59,Общие знания
Район1,Французский язык_ЗЭ,2024,65,19.11,Общие знания
Район1,Химия_ШЭ,2023,51,20.22,"Основы химии, химические реакции, периодическая таблица."
Район1,Химия_МЭ,2023,239,41.08,"Лабораторные методы, анализ химических веществ."
Район1,Химия_РЭ,2023,97,21.89,"Решение химических задач, работа с формулами."
Район1,Химия_ЗЭ,2023,35,19.6,"История химии, влияние на медицину."
Район1,Химия_ШЭ,2024,187,37.85,Углубленное изучение органической и неорганической химии.
Район1,Химия_МЭ,2024,170,32.29,Применение химических знаний в повседневной жизни.
Район1,Химия_РЭ,2024,174,35.76,Работа с химическими реакциями и их механизмами.
Район1,Химия_ЗЭ,2024,249,50.56,Современные достижения в химии и химической технологии.
Район1,Экология_ШЭ,2023,127,32.22,"Основы экологии, знание экосистем и их компонентов."
Район1,Экология_МЭ,2023,4,11.41,Изучение взаимодействия организмов и окружающей среды.
Район1,Экология_РЭ,2023,211,38.1,Анализ экологических данных и проблем.
Район1,Экология_ЗЭ,2023,221,39.42,"История экологии, влияние на общество."
Район1,Экология_ШЭ,2024,28,15.06,Углубленное изучение экологических процессов и их динамики.
Район1,Экология_МЭ,2024,161,38.72,Анализ современных экологических проблем и их решений.
Район1,Экология_РЭ,2024,226,41.13,Работа с экологическими моделями и прогнозами.
Район1,Экология_ЗЭ,2024,158,38.5,Современные достижения в экологии.
Район1,Экономика_МЭ,2023,202,45.0,Изучение экономических систем и их особенностей.
Район1,Экономика_РЭ,2023,5,9.85,Анализ экономических данных и показателей.
Район1,Экономика_ЗЭ,2023,196,44.1,"История экономики, влияние на общество."
Район1,Экономика_ШЭ,2024,97,24.31,Углубленное изучение макро- и микроэкономики.
Район1,Экономика_МЭ,2024,112,29.8,Анализ современных экономических проблем и их решений.
Район1,Экономика_РЭ,2024,236,49.09,Работа с экономическими моделями и прогнозами.
Район1,Экономика_ЗЭ,2024,249,46.26,Современные достижения в экономике.
Район1,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2023,42,12.98,Общие знания
Район1,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2023,25,11.55,Общие знания
Район1,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2024,113,31.1,Общие знания
Район1,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2024,156,32.01,Общие знания
Район1,Олимпиада им. В.Я. Струве по астрономии_РЭ,2023,19,10.54,Общие знания
Район1,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2023,225,42.73,Общие знания
Район1,Олимпиада им. В.Я. Струве по астрономии_РЭ,2024,1,5.52,Общие знания
Район1,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2024,244,48.28,Общие знания
Район1,Олимпиада им. Л.Эйлера по математике_ЗЭ,2023,206,36.59,Общие знания
Район1,Олимпиада им. Л.Эйлера по математике_РЭ,2024,138,33.49,Общие знания
Район1,Олимпиада им. Л.Эйлера по математике_ЗЭ,2024,128,28.52,Общие знания
Район1,Олимпиада им. М. Келдыша по информатике_РЭ,2023,58,16.36,Общие знания
Район1,Олимпиада им. М. Келдыша по информатике_ЗЭ,2023,58,16.13,Общие знания
Район1,Олимпиада им. М. Келдыша по информатике_РЭ,2024,109,22.53,Общие знания
Район1,Олимпиада им. М. Келдыша по информатике_ЗЭ,2024,144,35.29,Общие знания
Район2,Английский язык_ШЭ,2023,24,9.02,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район2,Английский язык_МЭ,2023,215,39.18,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район2,Английский язык_РЭ,2023,34,16.72,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район2,Английский язык_ЗЭ,2023,118,29.43,"Письмо и составление различных текстов, включая деловую переписку."
Район2,Английский язык_ШЭ,2024,68,18.9,"Углубленное знание грамматики, расширенный словарный запас, навыки ведения диалогов на различные темы."
Район2,Английский язык_МЭ,2024,5,11.61,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район2,Английский язык_РЭ,2024,170,36.46,"Критическое чтение, написание научных работ и эссе."
Район2,Английский язык_ЗЭ,2024,63,19.55,"Создание резюме и сопроводительных писем, навыки редактирования."
Район2,Астрономия_ШЭ,2023,173,34.59,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район2,Астрономия_МЭ,2023,53,18.81,"Астрономические наблюдения, работа с астрономическими картами."
Район2,Астрономия_РЭ,2023,89,22.28,"Астрономические расчеты, понимание законов движения небесных тел."
Район2,Астрономия_ЗЭ,2023,56,15.05,"История астрономии, влияние астрономии на культуру."
Район2,Астрономия_ШЭ,2024,125,29.56,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район2,Астрономия_МЭ,2024,142,29.01,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район2,Астрономия_РЭ,2024,203,42.5,"Понимание астрофизики, работа с астрономическими моделями."
Район2,Астрономия_ЗЭ,2024,205,40.94,Современные достижения в астрономии и космонавтике.
Район2,Биология_ШЭ,2023,143,27.49,"Основы биологии, экология, анатомия."
Район2,Биология_МЭ,2023,189,35.45,"Изучение экосистем, взаимодействие организмов."
Район2,Биология_РЭ,2023,198,43.23,"Анализ биологических данных, работа с микроскопом."
Район2,Биология_ЗЭ,2023,24,17.98,"История биологии, влияние на медицину."
Район2,Биология_ШЭ,2024,207,44.93,Углубленное изучение клеточной биологии и генетики.
Район2,Биология_МЭ,2024,11,8.26,Изучение биологических процессов на молекулярном уровне.
Район2,Биология_РЭ,2024,83,21.26,"Работа с биоинформатикой, анализ генетических данных."
Район2,Биология_ЗЭ,2024,36,18.11,Современные достижения в биологии и биотехнологиях.
Район2,География_ШЭ,2023,34,19.81,"Знание географии, карты, страны и столицы."
Район2,География_МЭ,2023,113,23.28,"Экономическая география, влияние человека на природу."
Район2,География_ЗЭ,2023,174,34.46,"История географии, влияние на культуру."
Район2,География_ШЭ,2024,186,40.46,Углубленное изучение физической и экономической географии.
Район2,География_МЭ,2024,35,10.45,Анализ природных ресурсов и их использование.
Район2,География_РЭ,2024,81,18.51,Работа с геоинформационными системами (ГИС).
Район2,География_ЗЭ,2024,162,38.69,Современные достижения в географии.
Район2,Информатика_ШЭ,2023,144,30.6,"Основы программирования, работа с данными."
Район2,Информатика_МЭ,2023,20,9.51,"Разработка программного обеспечения, работа с базами данных."
Район2,Информатика_РЭ,2023,214,41.34,Анализ и оптимизация алгоритмов.
Район2,Информатика_ЗЭ,2023,228,43.02,"История информатики, влияние технологий на общество."
Район2,Информатика_ШЭ,2024,67,25.03,Углубленное изучение алгоритмов и структур данных.
Район2,Информатика_МЭ,2024,86,26.55,Создание веб-приложений и работа с API.
Район2,Информатика_РЭ,2024,177,38.82,Машинное обучение и работа с большими данными.
Район2,Информатика_ЗЭ,2024,236,46.2,Современные достижения в области информатики.
Район2,Искусство_МЭ,2023,14,15.94,Общие знания
Район2,Искусство_РЭ,2023,83,24.38,Общие знания
Район2,Искусство_ЗЭ,2023,68,23.08,Общие знания
Район2,Искусство_ШЭ,2024,146,33.69,Общие знания
Район2,Искусство_МЭ,2024,75,26.07,Общие знания
Район2,Искусство_РЭ,2024,245,46.21,Общие знания
Район2,Искусство_ЗЭ,2024,193,39.91,Общие знания
Район2,История_РЭ,2023,7,6.81,Анализ исторических источников и документов.
Район2,История_ЗЭ,2023,27,18.62,"История культуры и искусства, влияние на общество."
Район2,История_ШЭ,2024,78,20.61,Углубленное изучение мировой истории и ее этапов.
Район2,История_МЭ,2024,216,47.05,Анализ исторических событий с разных точек зрения.
Район2,История_ЗЭ,2024,154,36.65,Современные подходы к изучению истории.
Район2,Испанский язык_ШЭ,2023,22,11.59,Общие знания
Район2,Испанский язык_МЭ,2023,6,6.75,Общие знания
Район2,Испанский язык_РЭ,2023,200,37.04,Общие знания
Район2,Испанский язык_ЗЭ,2023,19,8.01,Общие знания
Район2,Испанский язык_ШЭ,2024,159,29.97,Общие знания
Район2,Испанский язык_МЭ,2024,167,38.85,Общие знания
Район2,Испанский язык_РЭ,2024,232,40.58,Общие знания
Район2,Испанский язык_ЗЭ,2024,91,21.61,Общие знания
Район2,Итальянский язык_ШЭ,2023,46,21.87,Общие знания
Район2,Итальянский язык_МЭ,2023,61,16.1,Общие знания
Район2,Итальянский язык_РЭ,2023,96,20.38,Общие знания
Район2,Итальянский язык_ЗЭ,2023,211,42.2,Общие знания
Район2,Итальянский язык_ШЭ,2024,83,24.28,Общие знания
Район2,Итальянский язык_МЭ,2024,45,19.75,Общие знания
Район2,Итальянский язык_РЭ,2024,25,14.33,Общие знания
Район2,Итальянский язык_ЗЭ,2024,59,16.98,Общие знания
Район2,Китайский язык_ШЭ,2023,242,45.34,Общие знания
Район2,Китайский язык_МЭ,2023,184,42.46,Общие знания
Район2,Китайский язык_РЭ,2023,206,37.42,Общие знания
Район2,Китайский язык_ЗЭ,2023,229,43.08,Общие знания
Район2,Китайский язык_ШЭ,2024,66,17.65,Общие знания
Район2,Китайский язык_МЭ,2024,17,14.78,Общие знания
Район2,Китайский язык_ЗЭ,2024,229,41.96,Общие знания
Район2,Литература_ШЭ,2023,241,46.4,"Основы литературного анализа, знание классических произведений."
Район2,Литература_МЭ,2023,54,18.2,Изучение различных жанров и стилей литературы.
Район2,Литература_РЭ,2023,7,9.01,"Анализ литературных произведений, написание критических отзывов."
Район2,Литература_ЗЭ,2023,72,17.79,"История литературы, влияние на культуру."
Район2,Литература_ШЭ,2024,182,40.0,Углубленное изучение литературных течений и направлений.
Район2,Литература_МЭ,2024,226,47.59,Анализ современных произведений и их контекста.
Район2,Литература_РЭ,2024,48,21.52,Создание собственных литературных произведений.
Район2,Математика_ШЭ,2023,32,13.35,Общие знания
Район2,Математика_МЭ,2023,249,43.57,Общие знания
Район2,Математика_РЭ,2023,153,37.46,Общие знания
Район2,Математика_ЗЭ,2023,237,41.91,Общие знания
Район2,Математика_ШЭ,2024,125,25.45,Общие знания
Район2,Математика_МЭ,2024,107,24.71,Общие знания
Район2,Математика_РЭ,2024,139,25.95,Общие знания
Район2,Математика_ЗЭ,2024,49,20.42,Общие знания
Район2,Немецкий язык_ШЭ,2023,113,30.73,Общие знания
Район2,Немецкий язык_МЭ,2023,177,38.55,Общие знания
Район2,Немецкий язык_РЭ,2023,183,34.47,Общие знания
Район2,Немецкий язык_ЗЭ,2023,23,13.54,Общие знания
Район2,Немецкий язык_ШЭ,2024,202,36.16,Общие знания
Район2,Немецкий язык_МЭ,2024,213,43.2,Общие знания
Район2,Немецкий язык_РЭ,2024,8,6.32,Общие знания
Район2,Немецкий язык_ЗЭ,2024,51,15.25,Общие знания
Район2,Обществознание_ШЭ,2023,175,31.76,Общие знания
Район2,Обществознание_МЭ,2023,247,49.76,Общие знания
Район2,Обществознание_РЭ,2023,12,16.13,Общие знания
Район2,Обществознание_ЗЭ,2023,79,26.29,Общие знания
Район2,Обществознание_ШЭ,2024,220,44.04,Общие знания
Район2,Обществознание_МЭ,2024,112,25.35,Общие знания
Район2,Обществознание_РЭ,2024,27,18.83,Общие знания
Район2,Обществознание_ЗЭ,2024,242,45.38,Общие знания
Район2,Основы безопасности жизнедеятельности_МЭ,2023,20,14.45,Общие знания
Район2,Основы безопасности жизнедеятельности_РЭ,2023,84,27.46,Общие знания
Район2,Основы безопасности жизнедеятельности_ЗЭ,2023,245,44.1,Общие знания
Район2,Основы безопасности жизнедеятельности_ШЭ,2024,62,22.11,Общие знания
Район2,Основы безопасности жизнедеятельности_МЭ,2024,52,19.98,Общие знания
Район2,Основы безопасности жизнедеятельности_РЭ,2024,12,15.99,Общие знания
Район2,Основы безопасности жизнедеятельности_ЗЭ,2024,148,37.04,Общие знания
Район2,Право_ШЭ,2023,2,11.44,Общие знания
Район2,Право_МЭ,2023,200,36.38,Общие знания
Район2,Право_РЭ,2023,79,26.8,Общие знания
Район2,Право_ЗЭ,2023,227,45.42,Общие знания
Район2,Право_ШЭ,2024,165,38.52,Общие знания
Район2,Право_МЭ,2024,111,29.92,Общие знания
Район2,Право_РЭ,2024,14,16.23,Общие знания
Район2,Право_ЗЭ,2024,217,46.53,Общие знания
Район2,Русский язык_ШЭ,2023,139,30.0,Общие знания
Район2,Русский язык_МЭ,2023,248,46.69,Общие знания
Район2,Русский язык_РЭ,2023,208,44.26,Общие знания
Район2,Русский язык_ЗЭ,2023,97,27.73,Общие знания
Район2,Русский язык_ШЭ,2024,104,21.34,Общие знания
Район2,Русский язык_РЭ,2024,82,22.62,Общие знания
Район2,Русский язык_ЗЭ,2024,133,27.58,Общие знания
Район2,Технология_ШЭ,2023,81,17.24,Общие знания
Район2,Технология_МЭ,2023,24,16.64,Общие знания
Район2,Технология_РЭ,2023,172,39.77,Общие знания
Район2,Технология_ЗЭ,2023,102,29.51,Общие знания
Район2,Технология_ШЭ,2024,73,23.16,Общие знания
Район2,Технология_МЭ,2024,3,8.41,Общие знания
Район2,Технология_РЭ,2024,237,47.56,Общие знания
Район2,Технология_ЗЭ,2024,120,23.06,Общие знания
Район2,Физика_ШЭ,2023,31,16.96,"Основы физики, механика, термодинамика."
Район2,Физика_МЭ,2023,206,43.22,"Экспериментальные методы, анализ физических явлений."
Район2,Физика_РЭ,2023,212,46.39,"Решение задач, работа с физическими формулами."
Район2,Физика_ЗЭ,2023,105,24.93,"История физики, влияние на технологии."
Район2,Физика_ШЭ,2024,203,44.85,Углубленное изучение квантовой физики и теории относительности.
Район2,Физика_МЭ,2024,249,42.74,Применение законов физики в реальных задачах.
Район2,Физика_РЭ,2024,73,24.47,Исследование физических процессов на высоком уровне.
Район2,Физика_ЗЭ,2024,129,25.93,Современные достижения в физике.
Район2,Физическая культура_ШЭ,2023,64,23.41,Общие знания
Район2,Физическая культура_МЭ,2023,152,35.64,Общие знания
Район2,Физическая культура_РЭ,2023,186,40.52,Общие знания
Район2,Физическая культура_ЗЭ,2023,183,35.23,Общие знания
Район2,Физическая культура_ШЭ,2024,65,19.02,Общие знания
Район2,Физическая культура_МЭ,2024,16,11.38,Общие знания
Район2,Физическая культура_РЭ,2024,114,23.68,Общие знания
Район2,Физическая культура_ЗЭ,2024,115,31.27,Общие знания
Район2,Французский язык_ШЭ,2023,146,29.97,Общие знания
Район2,Французский язык_МЭ,2023,89,27.0,Общие знания
Район2,Французский язык_РЭ,2023,137,33.19,Общие знания
Район2,Французский язык_ЗЭ,2023,59,19.96,Общие знания
Район2,Французский язык_ШЭ,2024,152,33.44,Общие знания
Район2,Французский язык_МЭ,2024,169,37.06,Общие знания
Район2,Французский язык_РЭ,2024,171,31.74,Общие знания
Район2,Французский язык_ЗЭ,2024,246,46.3,Общие знания
Район2,Химия_ШЭ,2023,9,15.02,"Основы химии, химические реакции, периодическая таблица."
Район2,Химия_МЭ,2023,175,38.29,"Лабораторные методы, анализ химических веществ."
Район2,Химия_РЭ,2023,19,8.28,"Решение химических задач, работа с формулами."
Район2,Химия_ЗЭ,2023,220,47.32,"История химии, влияние на медицину."
Район2,Химия_ШЭ,2024,211,45.18,Углубленное изучение органической и неорганической химии.
Район2,Химия_МЭ,2024,84,27.1,Применение химических знаний в повседневной жизни.
Район2,Химия_РЭ,2024,143,33.05,Работа с химическими реакциями и их механизмами.
Район2,Химия_ЗЭ,2024,167,30.79,Современные достижения в химии и химической технологии.
Район2,Экология_ШЭ,2023,64,23.83,"Основы экологии, знание экосистем и их компонентов."
Район2,Экология_РЭ,2023,136,34.81,Анализ экологических данных и проблем.
Район2,Экология_ЗЭ,2023,234,48.01,"История экологии, влияние на общество."
Район2,Экология_ШЭ,2024,26,13.66,Углубленное изучение экологических процессов и их динамики.
Район2,Экология_МЭ,2024,34,18.9,Анализ современных экологических проблем и их решений.
Район2,Экология_РЭ,2024,21,12.33,Работа с экологическими моделями и прогнозами.
Район2,Экология_ЗЭ,2024,160,31.47,Современные достижения в экологии.
Район2,Экономика_ШЭ,2023,220,40.32,"Основы экономики, знание ключевых понятий и терминов."
Район2,Экономика_МЭ,2023,66,17.15,Изучение экономических систем и их особенностей.
Район2,Экономика_РЭ,2023,222,46.23,Анализ экономических данных и показателей.
Район2,Экономика_ЗЭ,2023,176,36.13,"История экономики, влияние на общество."
Район2,Экономика_ШЭ,2024,126,31.02,Углубленное изучение макро- и микроэкономики.
Район2,Экономика_МЭ,2024,243,42.41,Анализ современных экономических проблем и их решений.
Район2,Экономика_РЭ,2024,160,36.01,Работа с экономическими моделями и прогнозами.
Район2,Экономика_ЗЭ,2024,126,23.96,Современные достижения в экономике.
Район2,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2023,8,16.0,Общие знания
